CITY_NAME,S_NAME,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入)
,都祁南之庄町,,,2.0,2.0,0,1.0,1.0,2.0,1,2,2,2,2.0,2,5,3,2,3.0,4,3.0,0,,,0.0758,0.0,0.10392,0.0,0.0,0.0,0.02459,0.0,0.02367,0.0,0.05674,0.0,0.03201,0.0,0.06706,0.0,0.07002,0.0,0.07824,0.0,0.0879,0.0,0.11502,0.0,0.31600000000000006,0.0,0.24303,0.0,0.1879,0.0,0.33591,0.0,0.4804,0.0,0.34449,0.0,0.0,0.0,,,,,2.6427,0.0
,来迎寺町,,,2.0,2.0,1,,0.0,,1,2,1,1,,1,4,2,2,,1,,0,,,0.0758,0.0,0.10392,0.0,0.0368,0.0,,,0.0,0.0,,,0.03201,0.0,0.06706,0.0,0.03501,0.0,0.03912,0.0,,,0.05751,0.0,0.2528,0.0,0.16202,0.0,0.1879,0.0,,,0.1201,0.0,,,0.0,0.0,,,,,1.17005,0.0
,都祁友田町,,,2.0,4.0,4,2.0,2.0,4.0,4,4,3,3,4.0,5,6,5,9,6.0,7,9.0,6,3.0,,0.0758,0.0,0.20784,0.0,0.1472,0.0,0.04918,0.0,0.04734,0.0,0.11348,0.0,0.12804,0.0,0.13412,0.0,0.10503,0.0,0.11736,0.0,0.1758,0.0,0.28755,0.0,0.37920000000000004,0.0,0.40505,0.0,0.84555,1.0,0.67182,1.0,0.8407,1.0,1.03347,1.0,0.6012599999999999,1.0,0.30062999999999995,0.0,,,6.66642,5.0
,藺生町,,,3.0,4.0,8,18.0,10.0,16.0,7,5,7,16,23.0,16,15,22,19,13.0,16,7.0,3,,,0.11370000000000001,0.0,0.20784,0.0,0.2944,0.0,0.44262,0.0,0.2367,0.0,0.45392,0.0,0.22407,0.0,0.16765,0.0,0.24507,0.0,0.62592,1.0,1.01085,1.0,0.92016,1.0,0.9480000000000001,1.0,1.78222,2.0,1.78505,2.0,1.45561,1.0,1.9216,2.0,0.80381,1.0,0.30062999999999995,0.0,,,,,13.939820000000001,12.0
,都祁小山戸町,,,3.0,3.0,3,,1.0,1.0,3,4,4,5,3.0,6,9,11,6,6.0,4,8.0,5,1.0,,0.11370000000000001,0.0,0.15588,0.0,0.1104,0.0,,,0.02367,0.0,0.02837,0.0,0.09602999999999999,0.0,0.13412,0.0,0.14004,0.0,0.1956,0.0,0.13185000000000002,0.0,0.34506,0.0,0.5688000000000001,1.0,0.89111,1.0,0.5637000000000001,1.0,0.67182,1.0,0.4804,0.0,0.91864,1.0,0.50105,1.0,0.10021,0.0,,,6.17045,6.0
,都祁相河町,,,4.0,,1,3.0,1.0,3.0,3,1,1,2,3.0,8,6,4,5,2.0,4,4.0,1,,,0.1516,0.0,,,0.0368,0.0,0.07377,0.0,0.02367,0.0,0.08510999999999999,0.0,0.09602999999999999,0.0,0.03353,0.0,0.03501,0.0,0.07824,0.0,0.13185000000000002,0.0,0.46008,0.0,0.37920000000000004,0.0,0.32404,0.0,0.46975,0.0,0.22394,0.0,0.4804,0.0,0.45932,0.0,0.10021,0.0,,,,,3.64255,0.0
,都祁吐山町,,,4.0,4.0,4,5.0,4.0,4.0,4,5,7,5,5.0,15,11,16,13,8.0,11,6.0,3,0.0,,0.1516,0.0,0.20784,0.0,0.1472,0.0,0.12295,0.0,0.09468,0.0,0.11348,0.0,0.12804,0.0,0.16765,0.0,0.24507,0.0,0.1956,0.0,0.21975,0.0,0.86265,1.0,0.6952,1.0,1.29616,1.0,1.2213500000000002,1.0,0.89576,1.0,1.3211,1.0,0.68898,1.0,0.30062999999999995,0.0,0.0,0.0,,,9.075690000000002,7.0
,都祁こぶしが丘,,,3.0,16.0,12,19.0,23.0,17.0,15,13,25,29,40.0,65,75,47,46,16.0,12,6.0,2,,,0.11370000000000001,0.0,0.83136,1.0,0.4416,0.0,0.46721,0.0,0.54441,1.0,0.48229,0.0,0.48014999999999997,0.0,0.43588999999999994,0.0,0.87525,1.0,1.1344800000000002,1.0,1.758,2.0,3.73815,4.0,4.74,5.0,3.80747,4.0,4.3217,4.0,1.79152,2.0,1.4412,1.0,0.68898,1.0,0.20042,0.0,,,,,28.29378,27.0
,都祁白石町,,,8.0,11.0,13,14.0,13.0,13.0,18,19,16,16,26.0,29,34,35,37,18.0,20,20.0,13,3.0,1.0,0.3032,0.0,0.57156,1.0,0.4784,0.0,0.34426,0.0,0.30771,0.0,0.36880999999999997,0.0,0.5761799999999999,1.0,0.6370699999999999,1.0,0.56016,1.0,0.62592,1.0,1.1427,1.0,1.6677899999999999,2.0,2.1488,2.0,2.83535,3.0,3.47615,3.0,2.01546,2.0,2.402,2.0,2.2966,2.0,1.30273,1.0,0.30062999999999995,0.0,0.10021,0.0,24.46169,23.0
,針町,,,8.0,24.0,27,27.0,24.0,21.0,19,21,23,35,26.0,19,18,33,35,23.0,19,9.0,5,2.0,,0.3032,0.0,1.24704,1.0,0.9936,1.0,0.66393,1.0,0.56808,1.0,0.59577,1.0,0.6081899999999999,1.0,0.7041299999999999,1.0,0.80523,1.0,1.3692,1.0,1.1427,1.0,1.09269,1.0,1.1376000000000002,1.0,2.67333,3.0,3.28825,3.0,2.57531,3.0,2.2819,2.0,1.03347,1.0,0.50105,1.0,0.20042,0.0,,,23.785090000000004,25.0
,針ケ別所町,,,2.0,7.0,6,10.0,8.0,3.0,5,9,10,13,17.0,6,15,16,18,10.0,5,4.0,4,1.0,,0.0758,0.0,0.36372,0.0,0.2208,0.0,0.2459,0.0,0.18936,0.0,0.08510999999999999,0.0,0.16004999999999997,0.0,0.30177,0.0,0.35009999999999997,0.0,0.50856,1.0,0.7471500000000001,1.0,0.34506,0.0,0.9480000000000001,1.0,1.29616,1.0,1.6911,2.0,1.1197,1.0,0.6005,1.0,0.45932,0.0,0.40084,0.0,0.10021,0.0,,,10.20921,8.0
,小倉町,,,2.0,2.0,3,5.0,4.0,4.0,2,4,8,6,11.0,11,12,13,19,13.0,5,7.0,4,1.0,,0.0758,0.0,0.10392,0.0,0.1104,0.0,0.12295,0.0,0.09468,0.0,0.11348,0.0,0.06402,0.0,0.13412,0.0,0.28008,0.0,0.23472,0.0,0.48345000000000005,0.0,0.63261,1.0,0.7584000000000001,1.0,1.05313,1.0,1.78505,2.0,1.45561,1.0,0.6005,1.0,0.80381,1.0,0.40084,0.0,0.10021,0.0,,,9.40778,8.0
,上深川町,,,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1,0,0.0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08101,0.0
,荻町,,,0.0,0.0,0,1.0,0.0,1.0,0,0,1,1,0.0,1,1,1,2,0.0,1,1.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02459,0.0,0.0,0.0,0.02837,0.0,0.0,0.0,0.0,0.0,0.03501,0.0,0.03912,0.0,0.0,0.0,0.05751,0.0,0.0632,0.0,0.08101,0.0,0.1879,0.0,0.0,0.0,0.1201,0.0,0.11483,0.0,0.10021,0.0,,,,,0.85185,0.0
,都祁馬場町,,,,2.0,3,4.0,1.0,1.0,1,3,0,5,6.0,6,9,5,6,5.0,4,3.0,0,,,,,0.10392,0.0,0.1104,0.0,0.09836,0.0,0.02367,0.0,0.02837,0.0,0.03201,0.0,0.10058999999999998,0.0,0.0,0.0,0.1956,0.0,0.26370000000000005,0.0,0.34506,0.0,0.5688000000000001,1.0,0.40505,0.0,0.5637000000000001,1.0,0.55985,1.0,0.4804,0.0,0.34449,0.0,0.0,0.0,,,,,4.22397,3.0
,福住町,,,2.0,4.0,3,5.0,4.0,5.0,6,5,3,8,5.0,10,10,12,14,10.0,13,16.0,12,3.0,1.0,0.0758,0.0,0.20784,0.0,0.1104,0.0,0.12295,0.0,0.09468,0.0,0.14185,0.0,0.19205999999999998,0.0,0.16765,0.0,0.10503,0.0,0.31296,0.0,0.21975,0.0,0.5751,1.0,0.6320000000000001,1.0,0.97212,1.0,1.3153000000000001,1.0,1.1197,1.0,1.5613,2.0,1.83728,2.0,1.2025199999999998,1.0,0.30062999999999995,0.0,0.10021,0.0,11.367130000000001,10.0
